Audience,Avg Sales
"Lookalike Buyers of PepsiMtnDewStarryMUG 24pk Cans 36","200119.01385433"
"Lookalike Buyers of PMC Protein Pancake MixSyrup","2086.34116853792"
"Lookalike Buyers of PopcornersMissVickies 58oz","44828.0031686294"
"Lookalike Buyers of PopcornersSimply Pty Size 327","11583.9755312276"
"Lookalike Buyers of PopcrnrsSmartfood Pty Sz","24802.0899236318"
"Lookalike Buyers of Pure Leaf 12pk","34799.7642613918"
"Lookalike Buyers of Qkr IQO Value Pk 20ct","15125.8898909787"
"Lookalike Buyers of Qkr Quick OatsOldFash Oatmeal 18oz","12194.830606227"
"Lookalike Buyers of Qkr Rice Cake Sleeve 44765o","34135.2036828964"
"Lookalike Buyers of Qkr Rice Crisps SweetSaty Mltpk 15ct","575.771812752447"
"Lookalike Buyers of RufflesDoritosTostitosFritos 327","430250.887485506"
"Lookalike Buyers of RufflesFritos Pty Sz 125155 oz","188767.593402924"
"Lookalike Buyers of SBUX FrappeDSTS 15oz 327","11260.8772441596"
"Lookalike Buyers of Simply Multipacks 8pk 327","3594.93346066485"
"Lookalike Buyers of Sunchips 7oz","96585.5898839169"
"Lookalike Buyers of SunChips 7ozStarry 6pk 169floz 327","90738.6675312916"
"Lookalike Buyers of SunChipsBaked Chips 313","80138.091268502"
"New Buyer of SunChipsBaked Chips 313","28447.7958753048"
"New Buyers of  Qkr Rice Crisps SweetSaty Mltpk 15c","728.821362078782"
"New Buyers of bubly 8pk Cans 327","22814.6230095129"
"New Buyers of bubly 8pk Cans 36","39079.3886352043"
"New Buyers of CapnCrunchLIFE 10313oz ","8544.3766974139"
"New Buyers of Cheetos Pty Sz 13415oz","59341.8512810335"
"New Buyers of Chewy Granola Bars 58c","9846.73563837978"
"New Buyers of Chewy Granola Simply Granola 126241 ","3491.77870339916"
"New Buyers of Chewy Value Pack 18ct","14451.5807744242"
"New Buyers of DoritosCheetosSunChips Snacks Minis 327","2186.49531555701"
"New Buyers of DorTostitos Pty Sz 14518oz Dips 15oz ","39765.3303940644"
"New Buyers of FL Baked Chips","30280.5044357013"
"New Buyers of FL Mpk 10ct ","30474.6787718135"
"New Buyers of FL Mpk 28ct","40782.0774279007"
"New Buyers of FL Mpk 42Simply Popcrnrs 35","87081.6685642895"
"New Buyers of FritoLay 42ct Variety Pack 327  ","50990.7171802608"
"New Buyers of Gat 8pk","67496.2690717231"
"New Buyers of Gat Alkaline Water 1L ","638.357842754391"
"New Buyers of Gat Alkaline Water 2367flo","1122.59444102337"
"New Buyers of GatoradePropel 18pk Bottles 36","17980.6245825696"
"New Buyers of GatoradePropel12pk Bottles 313","33050.618832293"
"New Buyers of GatPropel 18pk","143216.012022739"
"New Buyers of MacARoni Box 58oz","9025.49736768836"
"New Buyers of MuscleMilkPro Shake Get MM Plant ","59.956565798987"
"New Buyers of MuscleMilkPro Shake Get MM Plant ","302.213983648445"
"New Buyers of MuscleMilkPro Shake Get MM Plant ","361.252261968391"
"New Buyers of PepMtnDewStarryMUG 10pk Mini ","11075.1154270056"
"New Buyers of PepMtnDewStarryMUG 12pk","151568.657079948"
"New Buyers of Pepsi 12pk 313 ","371302.833986414"
"New Buyers of PepsiMtnDew 8pk 12 fl oz 313","1302.61439518308"
"New Buyers of PepsiMtnDewStarryMUG 24pk Cans 36","23183.9284759156"
"New Buyers of PMC Protein Pancake MixSyrup","1443.73750505182"
"New Buyers of PopcornersMissVickies 58oz","30762.1254168361"
"New Buyers of PopcornersSimply Pty Size 327","5289.42299669927"
"New Buyers of PopcrnrsSmartfood Pty Sz","14600.4030191815"
"New Buyers of Pure Leaf 12pk","9805.9770241024"
"New Buyers of Qkr IQO Value Pk 20ct","5243.44996541978"
"New Buyers of Qkr Quick OatsOldFash Oatmeal 18oz","4707.75942384701"
"New Buyers of Qkr Rice Cake Sleeve 44765oz ","21471.7386721134"
"New Buyers of Rkstr 10ct","1752.52376610384"
"New Buyers of Rkstr 4pk 36 ","1209.72701079451"
"New Buyers of RufflesDoritosTostitosFritos 327  ","74178.3287049371"
"New Buyers of RufflesFritos Pty Sz 125155 oz","63754.2824138518"
"New Buyers of SBUX Frapp 12pk Bottles 36","2119.65310763781"
"New Buyers of SBUX FrappeDSTS 15oz 327","810.207097981704"
"New Buyers of Simply Multipacks 8pk 327","5488.00173499346"
"New Buyers of Sunchips 7oz ","58867.7256444661"
"New Buyers of SunChips 7ozStarry 6pk 169floz 327","54700.5917201369"
"Soft Drink Buyers or Bagged Snack Buyers 0524 DISP","522184.055886104"
